Name,Bard,Cleric,Druid,Sorcerer,Warlock,Wizard
Alarm,,,,,,Yes
Animal Friendship,Yes,,Yes,,,
Armor of Ice,,,,,Yes,
Arms of Darkness,,,,,Yes,
Bane,Yes,Yes,,,,
Bless,,Yes,,,,
Burning Hands,,,,Yes,,Yes
Charm Person,Yes,,Yes,Yes,Yes,Yes
Chromatic Orb,,,,Yes,,Yes
Color Spray,Yes,,,Yes,,Yes
Command,Yes,Yes,,,,
Compelled Duel,,,,,,
Comprehend,Yes,,,Yes,Yes,Yes
Create Water,,,Yes,,,
Cure Wounds,Yes,Yes,,,,
Detect Alignment,,Yes,,,,
Detect Magic,Yes,Yes,Yes,Yes,,Yes
Detect Poison,,,Yes,,,
Disguise Self,Yes,,,Yes,,Yes
Dissonant Whispers,Yes,,,,,
Divine Favor,,Yes,,,,
Ensnaring Strike,,,,,,
Entangle,,,Yes,,,
Retreat,,,,Yes,Yes,Yes
Faerie Fire,Yes,,Yes,,,
False Life,,,,Yes,,Yes
Feather Fall,Yes,,,Yes,,Yes
Find Familiar,,,,,,Yes
Fog Cloud,,,Yes,Yes,,Yes
Goodberry,,,Yes,,,
Grease,,,,Yes,,Yes
Guiding Bolt,,Yes,,,,
Hail of Thorns,,,,,,
Healing Word,Yes,Yes,Yes,,,
Rebuke,,,,,Yes,
Heroism,Yes,,,,,
Hex,,,,,Yes,
Hunter's Mark,,,,,,
Identify,Yes,,,,,Yes
Illusory Script,Yes,,,,Yes,Yes
Jump,,,Yes,Yes,,Yes
Longstrider,Yes,,Yes,,,Yes
Mage Armor,,,,Yes,,Yes
Magic Missile,,,,Yes,,Yes
Protection,,Yes,Yes,,Yes,Yes
Purify,,Yes,Yes,,,
Ray of Sickness,,,,Yes,,Yes
Sanctuary,,Yes,,,,
Searing Smite,,,,,,
Shield,,,,Yes,,Yes
Shield of Faith,,Yes,,,,
Silent Image,Yes,,,Yes,,Yes
Sleep,Yes,,,Yes,,Yes
Speak with Animals,Yes,,Yes,,,
Hideous Laughter,Yes,,,,,Yes
Floating Disk,,,,,,Yes
Thunderous Smite,,,,,,
Thunderwave,Yes,,Yes,Yes,,Yes
Unseen Servant,,,,,Yes,Yes
Witch Bolt,,,,Yes,Yes,Yes
Wrathful Smite,,,,,,
